(323355, 0.8786466499888071)
(456662, 0.8308928786436375)
(371677, 0.8505363625470486)
(341681, 0.5196109119657156)
(384136, 0.8137713853963707)
(273551, 0.8702298470404843)
(74457, 0.4766740505328052)
(447522, 0.6761946195053332)
(127182, 0.7902485893849214)
(183127, 0.08159149318633227)
(157365, 0.6524773352868616)
(17379, 0.8432621206061703)
(239773, 0.5709943241144586)
(179487, 0.7156407616343372)
(377946, 0.44942505805376015)
(463527, 0.8732554558762293)
(179898, 0.8680106682581848)
(13291, 0.15796248305829066)
(351331, 0.7704717260725146)
(476787, 0.7800549991009863)
(97994, 0.8116550095718768)
(239318, 0.6844115650213926)
(462629, 0.4388782849174306)
(172977, 0.825482308234745)
(121417, 0.8330913419851786)
(516677, 0.8878730590057582)
(221281, 0.7711386361644146)
(364322, 0.8533183074115162)
(154339, 0)
(387916, 0.7915901319792958)
(186282, 0.6985093704394014)
(13177, 0.8827605240018039)
(323895, 0.7555019162095093)
(162581, 0.8885605736543173)
(391375, 0.8945712520337119)
(61171, 0)
(31217, 0.4791202899546061)
(439994, 0.8139032403456626)
(458768, 0.5867133303836825)
(324614, 0.7258830793280073)
(77396, 0.7936391319089652)
(229948, 0.5697696546437274)
(469174, 0.8216242584204009)
(364636, 0.7930032044727762)
(426795, 0.8291370637759429)
(341469, 0.8022502689214422)
(37751, 0.2613782210700108)
(163562, 0.7650163586437045)
(565153, 0.24811003746427002)
(197388, 0.49976446147184167)
(577976, 0.7340421264517557)
(478286, 0.5510941868734985)
(13923, 0.5351511857181154)
(133778, 0.8647200483898675)
(553731, 0.5468790697452863)
(567432, 0.8846688644022455)
(212453, 0.7045245014636804)
(279927, 0.4102127597683987)
(459954, 0.649473387308948)
(259597, 0.8745042052279778)
(226417, 0.34088250352594307)
(213593, 0.5152968146066342)
(182155, 0.4031336306361272)
(199236, 0.615329346216502)
(121744, 0.8248618097344856)
(2685, 0.8495684083441114)
(144932, 0.0848968745530059)
(452321, 0.8616427282513203)
(562843, 0.8349456645382765)
(54931, 0.8015747585572692)
(72795, 0.3487605208471871)
(381639, 0.9049854690549586)
(59598, 0.8309942277889915)
(128148, 0.7873933896886727)
(291551, 0.7224739292712713)
(47769, 0.6563423915789657)
(94751, 0.40069458108645145)
(571943, 0.8049887838840869)
(568814, 0.7606141532071307)
(132796, 0.7320640416204999)
(116439, 0.5807098252938521)
(62355, 0.8227912197869285)
(375469, 0.6777575363014652)
(433134, 0.8255345074606363)
(256916, 0.8563501150812849)
(377814, 0.9291135581191377)
(367386, 0.2488259457156961)
(537672, 0.8243021452815651)
(62554, 0.28002132850672684)
(44279, 0.8587103728339013)
(64462, 0.869380656750148)
(453341, 0)
(532761, 0.7179995828901883)
(92177, 0.7622440730202762)
(292446, 0.26925234897795775)
(193181, 0.8877099008480949)
(136633, 0.9012115084247849)
(64359, 0.851414840012198)
(148999, 0.204174488228964)
(573258, 0.826655251699143)
(4134, 0.9139859494613577)
(66886, 0.8334204327120832)
(497344, 0.8190999716229279)
(228144, 0.927760652485985)
(76417, 0.25683507817609613)
(196141, 0.5071972306452679)
(261535, 0.5695596856148148)
(319534, 0.7253165948548976)
(84664, 0.7798071537481017)
(332455, 0.8962457646995969)
(442456, 0.5545006003474113)
(184978, 0.8109567761167119)
(39785, 0.9112230387942254)
(271116, 0.5889906298351496)
(134689, 0.8847502673176673)
(457884, 0.9180250667925415)
(329456, 0.901244811136918)
(164883, 0.38307688303275583)
(419312, 0.8532453321937528)
(237864, 0.8205574061526254)
(498857, 0.8934525391436564)
(419653, 0.35198673098637107)
(453166, 0.9227863663332041)
(269632, 0.7912752115953436)
(324715, 0.797253523216482)
(495146, 0.6449380950224001)
(287959, 0.8171695096039236)
(371699, 0.7862380806138525)
(529122, 0.8936009957339633)
(491213, 0.4777708844739344)
(85478, 0.8888243663188707)
(2149, 0.7956902365981452)
(493864, 0.8289904242425608)
(549674, 0.4820714388659661)
(389197, 0.6295100431517431)
(577149, 0.9610079633397252)
(515445, 0.2767524081620334)
(147729, 0.7932353814284372)
(491497, 0.6314437531982781)
(561223, 0.795416380286192)
(455981, 0.83983458661632)
(181542, 0.5992013398068393)
(78748, 0.5679164308275998)
(334555, 0.5251129602164338)
(362682, 0.21861171338196042)
(335529, 0.5984295457389319)
(494188, 0.8522908309069781)
(158956, 0.6814138894316962)
(433915, 0.7651918148909761)
(7816, 0.6373318316471431)
(547519, 0.8327224788944174)
(319935, 0.8524207650837817)
(163258, 0.28384545660349825)
(167898, 0.8560234418178342)
(14439, 0.049862930544203064)
(341921, 0.6858170226805615)
(18575, 0)
(396863, 0.9259600874286774)
(198489, 0.8247091049409363)
(157756, 0.27057773590359846)
(184791, 0.2623143667272084)
(455597, 0.8309925127538441)
(448256, 0.8584871477471763)
(529568, 0.5596775282348807)
(48396, 0.5902124366761725)
(84492, 0.8284084735689873)
(291619, 0.880319076870992)
(364884, 0.0009348221433234665)
(521141, 0.5747542914904962)
(544519, 0)
(365521, 0.8401996625693444)
(359781, 0.7571404113896973)
(221155, 0.7345139870141202)
(146489, 0.7090817967110562)
(172648, 0.7887717214134602)
(119365, 0.8496736483174305)
(122217, 0.26379553819265916)
(554156, 0.7926177216098687)
(451879, 0.5786967781103229)
(166664, 0.856718471311616)
(338325, 0.8835919345170071)
(525155, 0.8087790606724713)
(463842, 0.3360301243323735)
(137576, 0.6727354808477087)
(475779, 0.860835505239638)
(252216, 0.8932439664808672)
(477441, 0.7378111331115917)
(546556, 0.00776904100688356)
(515577, 0.3134555384377261)
(466125, 0.7779066195809986)
(177539, 0.8591647837289667)
(575372, 0.21502233291971068)
(512985, 0.6644273851740702)
(139872, 0.9009779170987952)
(529966, 0.5225714951247498)
(88269, 0.9546630184754007)
(512929, 0.8380217813856677)
(465836, 0.684855828773593)
(512564, 0.22328148104348566)
(46872, 0.5877413456761045)
(182441, 0.27976310149624734)
(159977, 0.9242925353934226)
(16249, 0.8619702084385394)
(253835, 0.7656045178535782)
(163611, 0.7812999357955814)
(138979, 0.6523286657357364)
(197796, 0.503164254848593)
(436315, 0.9637231309096772)
(414795, 0.42945902297701366)
(259382, 0.8994935715907434)
(421923, 0.12644969467105135)
(235241, 0.8551148638128403)
(417779, 0.5283965149704187)
(273712, 0.7029192414878651)
(193162, 0.5400551000838784)
(338532, 0.9334443446128032)
(528399, 0.41830709178925846)
(133645, 0.6697209172319935)
(124442, 0.80244083202466)
(245764, 0.6729290694998523)
(2532, 0.830079298298412)
(428454, 0.8856043153470785)
(161642, 0.9215556084843388)
(22969, 0.8083021951842214)
(52891, 0.9487540485566425)
(464358, 0.7919269606515287)
(317433, 0.8195639998639066)
(224222, 0.3295364957769502)
(557916, 0.7534395285471903)
(289516, 0.8651459185521435)
(497599, 0.8740581843320498)
(436883, 0.625113946738831)
(167128, 0.8836241243763017)
(322429, 0.5172350689630156)
(126216, 0.30746415829935764)
(361238, 0.5651820333275306)
(486573, 0.67407346018231)
(156372, 0.8208714353929425)
(222118, 0.9177749777529186)
(361919, 0.2649043315611897)
(342295, 0.8856421645635678)
(316666, 0.29376804525222144)
(448263, 0.5345162460295444)
(147745, 0.8213541360091753)
(77595, 0.7929903366599196)
(31269, 0.890433632558679)
(296634, 0.7478073382349282)
(6954, 0.8705224765550794)
(328959, 0.8156816278884946)
(172595, 0.7955660601698202)
(5193, 0.797681259369862)
(243495, 0.8185459882881359)
(263679, 0.5234346394265794)
(488251, 0.5326864585518674)
(262587, 0.2263337520065607)
(215245, 0.7910669188831659)
(397327, 0.7790733019326036)
(477955, 0.8689321467256923)
(25394, 0.7993337961855725)
(186637, 0.9171900940961015)
(43581, 0.8707832062489044)
(164637, 0.5797640495458695)
(369812, 0.5769275753356299)
(445248, 0.9151804490552241)
(393838, 0)
(25386, 0.6487710665860361)
(92416, 0.6515305675388146)
(417632, 0.36497841071339593)
(286182, 0.8421517684421111)
(181816, 0.5316430695436946)
(57725, 0.3362468360568371)
(167353, 0.4110867934288025)
(124636, 0.8836504509540685)
(29393, 0.8334455611068254)
(414673, 0.8190766861516794)
(219485, 0.3156512928730061)
(467176, 0.8561593049162907)
(342128, 0.7445599451319502)
(169169, 0.4608537059540651)
(119677, 0.935666864147918)
(91495, 0.8556625091393056)
(256195, 0.7515740664537982)
(365745, 0.5311659040327847)
(78915, 0.2902949401894087)
(151938, 0.593573980814488)
(235836, 0.6362500450527766)
(223789, 0.8072295176908106)
(228436, 0.8407443247393245)
(447313, 0.8250604562849841)
(383289, 0.789663601472341)
(576955, 0.33738685119295064)
(17178, 0.5412494879195473)
(4495, 0.16925565089461259)
(562561, 0.8072177852200141)
(129492, 0.8230751362752019)
(424162, 0.8892900041606696)
(349678, 0.386851157940525)
(248111, 0.6925324804757815)
(574297, 0.8187483413303662)
(147415, 0.7242560569080306)
(7977, 0.8917555310648383)
(283268, 0)
(179285, 0.8556491933109149)
(255917, 0.3630014619398371)
(481573, 0.8345953070124269)
(148719, 0.8344690045815587)
(43314, 0.06872886854314038)
(49759, 0.7941830967683811)
