(323355, 0.8981172604634198)
(456662, 0.9139065480417726)
(371677, 0.8749509643124873)
(341681, 0.887670364815026)
(384136, 0.8892329415363622)
(273551, 0.8619301733013796)
(519688, 0.8298606082568389)
(447611, 0.9045403722725893)
(74457, 0.8543033395665346)
(447522, 0.82967727385114)
(127182, 0.874618817496052)
(183127, 0.8973172858570282)
(157365, 0.7258204872352589)
(17379, 0.8302186905272028)
(239773, 0.8440994900570329)
(398438, 0.7438599298042312)
(179487, 0.8878229461894388)
(377946, 0.7628653819431641)
(463527, 0.8706202298338365)
(179898, 0.8576663702222882)
(13291, 0.17623005285589227)
(351331, 0.8361702386459783)
(476787, 0.8206677078446093)
(97994, 0.8564233622968224)
(239318, 0.8225698173880129)
(462629, 0.8821152389913473)
(172977, 0.8266624557644969)
(121417, 0.8977036601867021)
(516677, 0.7476140407898811)
(221281, 0.9025623661373829)
(364322, 0.9208748318047087)
(154339, 0.9628658895643751)
(387916, 0.8403552153225565)
(186282, 0.8818400394370693)
(13177, 0.8143397768170303)
(323895, 0.7950971281131793)
(162581, 0.8617482155221222)
(391375, 0.8947814466603723)
(184338, 0.7940134208609824)
(61171, 0.9051032201183362)
(159282, 0.8338418196711331)
(31217, 0.7893626544819435)
(439994, 0.8940356603298817)
(458768, 0.7906972250048797)
(324614, 0.8131577993266866)
(77396, 0.8812288043504444)
(229948, 0.8169849235170618)
(466339, 0.7793706656213943)
(469174, 0.8747923344822559)
(364636, 0.8939090822908945)
(426795, 0.4993444679844989)
(341469, 0.9171713091837647)
(37751, 0.9474373342961349)
(163562, 0.8530104563272494)
(565153, 0.9385474703857066)
(117645, 0.7276246368854694)
(197388, 0.9302955384995061)
(479732, 0.8127509258733122)
(456292, 0.803269690666859)
(577976, 0.8692719884674974)
(478286, 0.7573296679669368)
(13923, 0.8766919860167448)
(133778, 0.7735287103973699)
(553731, 0.8585564502801705)
(567432, 0.9005173849918854)
(212453, 0.8761500548661418)
(279927, 0.9050733030195932)
(459954, 0.7691320770609873)
(334977, 0.8977258128737414)
(259597, 0.8775287161592703)
(226417, 0.8418601960249174)
(213593, 0.7906699121521412)
(182155, 0.5296316255325929)
(199236, 0.8274930441529951)
(121744, 0.9099682713203376)
(2685, 0.7271173419800083)
(144932, 0.896468970702789)
(452321, 0.9423951979936352)
(264335, 0.880440144402636)
(562843, 0.8908441340023557)
(54931, 0.845698956548975)
(72795, 0.7546274272994737)
(336628, 0.86345272263266)
(381639, 0.7482397180814557)
(239717, 0.8799000647114075)
(559513, 0.7746697903101711)
(59598, 0.8447035646146697)
(128148, 0.7908121359775707)
(54654, 0.9051068508144803)
(291551, 0.7935937804840809)
(47769, 0.8908736017860015)
(94751, 0.8861872338208946)
(571943, 0.7561325747483714)
(557172, 0.6635370800898035)
(568814, 0.9350059098005656)
(13348, 0.8232879931576056)
(232489, 0)
(132796, 0.8237406154281071)
(116439, 0.8525614907103011)
(332351, 0.8090776534627839)
(62355, 0.7648153715588533)
(375469, 0.7833830509383786)
(433134, 0.925805211283891)
(256916, 0.8445604044501639)
(141328, 0.7950811224958537)
(377814, 0.9489639354821251)
(367386, 0.7760987565540373)
(499266, 0.8374554852065907)
(537672, 0.7624994377254779)
(577539, 0.7906177608749801)
(62554, 0.7549061412564411)
(44279, 0.8351718517743548)
(41633, 0.4131669334792572)
(314914, 0.8285469401477904)
(64462, 0.7840416791048728)
(483531, 0.7461004206128695)
(453341, 0.8223511466243503)
(273642, 0.780521209558116)
(532761, 0.802912613661869)
(92177, 0.7453130378761204)
(292446, 0.7769568337917926)
(236721, 0.8619692760672363)
(193181, 0.8573452762135931)
(514586, 0.8397370248404692)
(136633, 0.6755238660227452)
(64359, 0.9230524201867059)
(148999, 0.737384390231242)
(573258, 0.8554387132178132)
(4134, 0.8366045712679058)
(132622, 0.936518246964945)
(66886, 0.8531227180963159)
(497344, 0.7979795965680625)
(228144, 0.8922794166473897)
(1818, 0.8283363803516722)
(52413, 0.9295429015886865)
(545826, 0.8863861962688218)
(216636, 0.6591906689799744)
(76417, 0.8470814955840975)
(498919, 0.8453179883280476)
(193348, 0.9355547888212333)
(196141, 0.8321732586016634)
(146363, 0.7918487409676915)
(131379, 0.9047357327696861)
(261535, 0.913281108287129)
(319534, 0.7597727578977996)
(84664, 0.9040873187871268)
(332455, 0.7930198436249526)
(442456, 0.9029843818113925)
(53529, 0.7365505539601827)
(297147, 0.8023823418677386)
(483667, 0.8320434254930638)
(184978, 0.9031759890472157)
(39785, 0.8109549048991802)
(271116, 0.7510709374033759)
