ImageID,IoU_yoloV3,IoU_yoloV2,IoU_yolo_tiny
0000323355.jpg,0.8981172604634198,0.8959707958719401,0.8786466499888071
0000456662.jpg,0.9139065480417726,0.5625128964631605,0.8308928786436375
0000371677.jpg,0.8749509643124873,0.7790861101000248,0.8505363625470486
0000341681.jpg,0.887670364815026,0.7847771445465712,0.5196109119657156
0000384136.jpg,0.8892329415363622,0.8582170834102597,0.8137713853963707
0000273551.jpg,0.8619301733013796,0.9398298529643933,0.8702298470404843
0000519688.jpg,0.8298606082568389,0.8021531778729288,0.0
0000447611.jpg,0.9045403722725893,0.8542833238323203,0.0
0000074457.jpg,0.8543033395665346,0.6382313619132226,0.4766740505328052
0000447522.jpg,0.82967727385114,0.7691746954590758,0.6761946195053332
0000127182.jpg,0.874618817496052,0.723039742098305,0.7902485893849214
0000183127.jpg,0.8973172858570282,0.79626808075386,0.08159149318633227
0000157365.jpg,0.7258204872352589,0.6806792058897868,0.6524773352868616
0000017379.jpg,0.8302186905272028,0.8412113470005654,0.8432621206061703
0000239773.jpg,0.8440994900570329,0.7877766058963855,0.5709943241144586
0000398438.jpg,0.7438599298042312,0.7516209217024442,0.0
0000179487.jpg,0.8878229461894388,0.8343508702184405,0.7156407616343372
0000377946.jpg,0.7628653819431641,0.757836568971105,0.44942505805376015
0000463527.jpg,0.8706202298338365,0.8391197468896371,0.8732554558762293
0000179898.jpg,0.8576663702222882,0.6890738889319323,0.8680106682581848
0000013291.jpg,0.9371825998967457,0.8394438403639464,0.5595431108744005
0000351331.jpg,0.8361702386459783,0.7637567004853323,0.7704717260725146
0000476787.jpg,0.8206677078446093,0.8619072436114436,0.7800549991009863
0000097994.jpg,0.8564233622968224,0.8372044088609146,0.8116550095718768
0000239318.jpg,0.8225698173880129,0.7996785811619782,0.6844115650213926
0000462629.jpg,0.8821152389913473,0.9512243974321484,0.4388782849174306
0000172977.jpg,0.8266624557644969,0.8182454478777866,0.825482308234745
0000121417.jpg,0.8977036601867021,0.9109064490548078,0.8330913419851786
0000516677.jpg,0.7476140407898811,0.8606188683623425,0.8878730590057582
0000221281.jpg,0.9025623661373829,0.964107392803983,0.7711386361644146
0000364322.jpg,0.9208748318047087,0.9586710268281763,0.8533183074115162
0000154339.jpg,0.9628658895643751,0.86199186637246,0.0
0000387916.jpg,0.8403552153225565,0.897221561394886,0.7915901319792958
0000186282.jpg,0.8818400394370693,0.8133161475313639,0.6985093704394014
0000013177.jpg,0.8143397768170303,0.7371420912994032,0.8827605240018039
0000323895.jpg,0.7950971281131793,0.7995934894185137,0.7555019162095093
0000162581.jpg,0.8617482155221222,0.9115780666761074,0.8885605736543173
0000391375.jpg,0.8947814466603723,0.8019122346580985,0.8945712520337119
0000184338.jpg,0.7940134208609824,0.8330234055064929,0.0
0000061171.jpg,0.9051032201183362,0.8752544672564871,0.0
0000159282.jpg,0.8338418196711331,0.8079463699558114,0.0
0000031217.jpg,0.7893626544819435,0.8046271123607664,0.4791202899546061
0000439994.jpg,0.8940356603298817,0.903201973883934,0.8139032403456626
0000458768.jpg,0.7906972250048797,0.84201337908573,0.5867133303836825
0000324614.jpg,0.8131577993266866,0.7831029093108228,0.7258830793280073
0000077396.jpg,0.8812288043504444,0.7768264970537686,0.7936391319089652
0000229948.jpg,0.8169849235170618,0.8553562308528191,0.5697696546437274
0000466339.jpg,0.7793706656213943,0.851643695091738,0.0
